
Nucleus      Ex   T1/2      Jπ       m(nm)             Method      NSR_Keynumber       Journal_Reference
83 Bi 192   0      34.5 s       (3+)      4.16(17)      ISLS         2017Ba12            PR C95 044324 (2017)
83 Bi 192   147    39.6 s       (10-)     2.36(12)      ISLS         2017Ba12            PR C95 044324 (2017)

83 Bi 193   0      63.6 s       (9/2-)    3.72(10)      ISLS         2016Ba42            PR C94 024334 (2016)
83 Bi 193   308    3.2 s        (1/2+)    1.49(3)       ISLS         2016Ba42            PR C94 024334 (2016)

83 Bi 194   0      95 s         (3+)      4.17(10)      ISLS         2017Ba12            PR C95 044324 (2017)
83 Bi 194   0+x    115 s        (10-)     2.46(11)      ISLS         2017Ba12            PR C95 044324 (2017)

83 Bi 195   0      183 s        (9/2-)    3.85(10)      ISLS         2016Ba42            PR C94 024334 (2016)
83 Bi 195   401    87 s         (1/2+)    1.53(3)       ISLS         2016Ba42            PR C94 024334 (2016)

83 Bi 197   0      9.33 m       (9/2-)    3.90(11)      ISLS         2016Ba42            PR C94 024334 (2016)
83 Bi 197   500    5.04 m       (1/2+)    1.60(5)       ISLS         2016Ba42            PR C94 024334 (2016)




39
83 Bi 198   0+x     7.7 s        (10-)     2.45(7)      ISLS        2017Ba12   PR C95 044324 (2017)

83 Bi 199   0       27 m         9/2-      4.6(4)       NO/S        1988Wo12   HFI 43 401 (88)

83 Bi 201   0       103 m        9/2-      4.8(3)       NO/S        1988Wo12   HFI 43 401 (88)

83 Bi 202   0       1.71 h       5+        +4.240(14)   LRFS        1996Ca02   NP A598 61 (96)

83 Bi 203   0       11.8 h       9/2-      +3.999(13)   LRFS        1996Ca02   NP A598 61 (96)

83 Bi 204   0       11.22 h      6+        +4.302(15)   LRFS        1996Ca02   NP A598 61 (96)

83 Bi 205   0       15.3 d       9/2-      +4.047(7)    LRFS        1997Ki15   PL B405 31 (97)

83 Bi 206   0       6.243 d      6+        +4.341(8)    LRFS        1997Ki15   PL B405 31 (97)

83 Bi 207   0       31.6 y       9/2-      4.0729(20)   LRFS        2000Pe30   JP G26 1829 (00)

83 Bi 208   0       3.7x105 y    5+        +4.572(10)   LRS         2018Sc04   PL B779 (2018)

83 Bi 209   0       2.0x1019 y   9/2-      +4.092(2)    N           2018Sk03   PRL 120 093001 (2018)

83 Bi 210   0       5.01 d       1-        -0.0443(1)   AB          1962Al02   PR 125 256 (62)
83 Bi 210   271     3.0x106 y    9-        +2.72(4)     LRFS        1997KI15   PL B405 31 (97)

83 Bi 211   0       2.14 m       9/2-      +3.85(3)    LRS         2018Ba03   PR C97 014322 (2018)

83 Bi 212   0       60.6 m       1(-)      +0.32(4)     LRFS        1997Ki15   PL B405 31 (97)

83 Bi 213   0       45.6 m       9/2-      +3.699(7)    LRFS        1997Ki15   PL B405 31 (97)

84 Po 195   0       4.64 s       (3/2-)    -0.60(4)     LRIS        2014Se07   PR C89 034323 (2014)
84 Po 195   ~230   1.92 s       (13/2+)   -0.93(7)     LRIS        2014Se07   PR C89 034323 (2014)

84 Po 197   0       84 s         (3/2-)    -0.88(7)     LRIS        2014Se07   PR C89 034323 (2014)
84 Po 197    204     32 s         (13/2+)   -1.05(8)     LRIS        2014Se07   PR C89 034323 (2014)

84 Po 199   0       5.47 m       (3/2-)    -0.91(7)     LRIS        2014Se07   PR C89 034323 (2014)
84 Po 199   310     4.17 m       13/2+     -1.00(7)     LRIS        2014Se07   PR C89 034323 (2014)

84 Po 201   0       15.6 m       3/2-      -0.98(7)     LRIS        2014Se07   PR C89 034323 (2014)
84 Po 201   424     9.0 m        13/2+     -1.00(7)     LRIS        2014Se07   PR C89 034323 (2014)

84 Po 203   0       36.7 m       5/2-      +0.74(5)     LRIS        2014Se07   PR C89 034323 (2014)
84 Po 203   642     45 s         13/2+     -0.97(7)     LRIS        2014Se07   PR C89 034323 (2014)

84 Po 205   0       1.74 h       5/2-      +0.76(6)     NMR/ON      1983He09   ZP A311 351 (83)

84 Po 207   0       5.80 h       5/2-      +0.79(6)     NMR/ON      1983He09   ZP A311 351 (83)

84 Po 209   0       124 y        1/2-      0.68(8)      O           1966Ch27   JOSA 56 1292 (66)

84 Po 211   0       0.516 s      9/2+      -1.20(8)     LRIS        2014Se07   PR C89 034323 (2014)

84 Po 217   0       1.53 s       (9/2+)    -1.11(10)    LIST        2015Fi07   PR X5 011018 (2015)

85 At 195   0       290 ms       (1/2+)    +1.60(5)     LRIS        2018Cu02   PR C97 054327 (2018)
85 At 195   33.0   143 ms       (7/2-)    +3.70(13)    LRIS        2018Cu02   PR C97 054327 (2018)

85 At 196   0       387 ms       (3+)      +3.72(14)    LRIS        2018Cu02   PR C97 054327 (2018)

85 At 197   0       381 ms       (9/2-)    +3.83(7)     LRIS        2018Cu02   PR C97 054327 (2018)
85 At 197   ??    2.0 s        (1/2+)    +1.54(4)     LRIS        2018Cu02   PR C97 054327 (2018)

85 At 198   0       4.1 s        (3+)      +4.02(14)    LRIS        2018Cu02   PR C97 054327 (2018)
85 At 198  ?? 1.03 s       (10-)     +2.54(10)    LRIS        2018Cu02   PR C97 054327 (2018)

85 At 199   0       6.92 s       (9/2-)    +3.94(7)     LRIS        2018Cu02   PR C97 054327 (2018)
85 At 199  ??    310 ms       (1/2+)    +1.59(6)     LRIS        2018Cu02   PR C97 054327 (2018)




40
85 At 200   0         43 s      (3+)      +4.28(15)          LRIS             2018Cu02            PR C97 054327 (2018)
85 At 200   0    47 s      (7+)      +4.72(18)          LRIS             2018Cu02            PR C97 054327 (2018)
85 At 200   0    3.5 s     (10-)     +2.68(11)          LRIS             2018Cu02            PR C97 054327 (2018)

85 At 201   0         83 s      (9/2-)    +4.01(7)           LRIS             2018Cu02            PR C97 054327 (2018)

85 At 202   0         184 s     (3+)      +4.14(16)          LRIS             2018Cu02            PR C97 054327 (2018)
85 At 202   0        182 s     (7+)      +4.52(19)          LRIS             2018Cu02            PR C97 054327 (2018)

85 At 203   0         7.4 m     9/2-      +4.00(7)           LRIS             2018Cu02            PR C97 054327 (2018)

85 At 204   0         9.22 m    7+        +4.82(18)          LRIS             2018Cu02            PR C97 054327 (2018)

85 At 205   0         26.9 m    9/2-      +4.09(7)           LRIS             2018Cu02            PR C97 054327 (2018)

85 At 206   0         30.6 m    (6+)      +4.37(17)          LRIS             2018Cu02            PR C97 054327 (2018)

85 At 207   0         1.80 h    9/2+      +4.13(7)           LRIS             2018Cu02            PR C97 054327 (2018)

85 At 208   0         1.63 h    6+        +4.46(18)          LRIS             2018Cu02            PR C97 054327 (2018)

85 At 209   0         5.41 h    9/2+      +4.12(7)           LRIS             2018Cu02            PR C97 054327 (2018)

85 At 210   0         8.1 h     (5)+      +4.72(16)          LRIS             2018Cu02            PR C97 054327 (2018)

85 At 211   0         7.21 h    9/2-      Ref.estimated+4.14(not_measured)   2018Cu02            PR C97 054327 (2018)

85 At 217   0         32.3 ms   9/2-      3.8(2)             NO/S             1992Li26            HFI 75 323 (92)

86 Rn 203   362       26.9 s    (13/2+)   -0.9555(18)        CFBLS            1987Bo29            HFI 34 25 (87)

86 Rn 205   0         2.83 m    5/2-      +0.7980(16)        CFBLS            1987Bo29            HFI 34 25 (87)

86 Rn 207   0         9.3 m     5/2-      +0.8124(16)        CFBLS            1987Bo29            HFI 34 25 (87)

"86 Rn 209   0         28.8 m    5/2-      +0.8348(12)        N, OP/RD         1988Ki03            PRL 60 2133 (88)"

86 Rn 211   0         14.6 h    1/2-      +0.5984(12)        CFBLS            1988Ki03            PRL 60 2133 (88)

86 Rn 219   0         3.96 s    5/2+      -0.4399(12)        CFBLS            1988Ki03            PRL 60 2133 (88)

86 Rn 221   0         25 m      7/2+      -0.0201(6)         CFBLS            1988Ki03            PRL 60 2133 (88)

86 Rn 223   0         24.3 m    7/2(-)    -0.772(8)          CFBLS            1988NeZZ            Bk88 NFFS 126

86 Rn 225   0         4.66 m    7/2-      -0.693(8)          CFBLS            1988NeZZ            Bk88 NFFS 126

87 Fr 202   0         0.30 s    (3+)      +3.90(5)           CLS              2013Fl09            PRL 111 212501 (2013)
87 Fr 202   0+x       0.29 s    (10-)     +2.34(4)           CLS              2013Fl09            PRL 111 212501 (2013)

87 Fr 203   0         0.55 s    (9/2-)    +3.74(4)           CLS              2017Wi11            PR C96 034317(2017)

87 Fr 204   0         1.8 s     (3+)      +3.99(3)           CLS              2015Vo05            PR C91 044307 (2015)
87 Fr 204   41        1.6 s     (7+)      +4.62(4)           CLS              2015Vo05            PR C91 044307 (2015)
87 Fr 204   316       0.8 s     (10-)     +2.34(2)           CLS              2015Vo05            PR C91 044307 (2015)

87 Fr 205   0         3.9 s     (9/2-)    +3.80(3)           CLS              2015Vo05            PR C91 044307 (2015)

87 Fr 206   0         16 s      3+        +3.97(5)           CLS              2016Ly01            PR C93 014319(2016)
87 Fr 206   95-x    16 s      7(+)      +4.70(5)           CLS              2016Ly01            PR C93 014319(2016)
87 Fr 206   672-x   0.7 s     10(-)     +2.45(3)           CLS              2016Ly01            PR C93 014319(2016)

87 Fr 207   0         14.8 s    9/2-      +3.87(4)           CLS              2017Wi11            PR C96 034317(2017)

87 Fr 208   0         59.1 s    7+        +4.71(4)           CLS              2015Vo05            PR C91 044307 (2015)

87 Fr 209   0         50.5 s    9/2-      +3.93(5)           ABLS             1985Co24/1986Ek02   PL 163B 66 (85)/PS 34 624 (86)

87 Fr 210   0         3.18 m    6+        +4.38(5)           TLS              2008Go11            PRL 100 172502 (08)




41
87 Fr 211   0      3.10 m       9/2-      +3.97(5)           CLS          2014Ly01            PR X4 011055 (2014)

87 Fr 212   0      20.0 m       5+        +4.59(5)           ABLS         1985Co24            PL 163B 66 (85)

87 Fr 213   0      34.8 s       9/2-      +3.99(1)           ABLS         1985Co24/1986Ek02   PL 163B 66 (85)/PS 34 624 (86)

87 Fr 214   0      5 ms         1-or2-     +0.241(16)or+0.288(20)        CLS          2016Fa11            PR C94 054305 (2016) PR C94 054305 (2016)

87 Fr 220   0      27.4 s       1+        -0.66(1)           CLS          2014Ly01            PR X4 011055 (2014)

87 Fr 221   0      4.9 m        5/2-      +1.57(2)           CLS          2014Ly01            PR X4 011055 (2014)

87 Fr 222   0      14.2 m       2-        +0.63(1)           ABLS         1985Co24            PL 163B 66 (85)

87 Fr 223   0      22.0 m       3/2(-)    +1.16(1)           ABLS         1985Co24            PL 163B 66 (85)

87 Fr 224   0      3.3 m        1(-)      +0.40(1)           ABLS         1985Co24            PL 163B 66 (85)

87 Fr 225   0      3.95 m       3/2-      +1.06(1)           ABLS         1985Co24            PL 163B 66 (85)

87 Fr 226   0      49 s         1-        +0.0712(14)        ABLS         1986Du16            JPPa 47 1903 (86)

87 Fr 227   0      2.47 m       1/2+      +1.49(2)           ABLS         1985Co24            PL 163B 66 (85)

87 Fr 228   0      38 s         2-        -0.76(1)           ABLS         1985Co24            PL 163B 66 (85)

88 Ra 209   0      4.8 s        5/2-      +0.861(13)         CFBLS        1987Ar20            PRL 59 771 (87)

88 Ra 211   0      13 s          5/2-      +0.874(4)          CFBLS        1987Ar20            PRL 59 771 (87)

88 Ra 213   0      2.73 m       1/2-      +0.610(2)          CFBLS        1987Ar20            PRL 59 771 (87)
88 Ra 213   1770   2.15 ms      (17/2-)   7.4(4)             LEMS         1994Ne01            PR C49 645 (94)

88 Ra 221   0      28 s         5/2-      -0.1790(17)        CFBLS        1987Ar20            PRL 59 771 (87)

88 Ra 223   0      11.43 d      3/2+      +0.2692(8)         CRIS         2018Ly01            PR C97 024309 (2018)

88 Ra 225   0      14.9 d       1/2-      -0.730(2)          CFBLS        1987Ar20            PRL 59 771 (87)

88 Ra 227   0      42.2 m       3/2+      -0.4010(11)        CRIS         2018Ly01            PR C97 024309 (2018)

88 Ra 229   0      4.0 m        5/2+      +0.4992(14)        CRIS         2018Ly01            PR C97 024309 (2018)

88 Ra 231   0      104 s        (5/2+)    -0.3554(11)        CRIS         2018Ly01            PR C97 024309 (2018)

89 Ac 212   0      0.93 s       (7+)      +5.0(3)            IGLIS        2017Gr18            PR C96 054331 (2017)

89 Ac 213   0      0.74 s       (9/2-)    +4.2(4)            IGLIS        2017Gr18            PR C96 054331 (2017)

89 Ac 214   0      8.3 s        5+        +4.83(20)          IGLIS        2017Gr18            PR C96 054331 (2017)

89 Ac 215    0      0.17 s       9/2-      +4.14(6)           IGLIS        2017Gr18            PR C96 054331 (2017)

89 Ac 227   0      21.77 y      3/2-      +1.1(1)/1.22(17)   O/R          1955Fr26/2017Gr18   PR 98 1514 (55)/PR C96 054331 (2017)

90 Th 229   0      7880 y       5/2+      +0.46(4)           O            1974Ge06            JPPa 35 483 (74)

91 Pa 228   0      22 h         3+        3.5(5)             NO/S         1989He07            NP A493 83 (89)

91 Pa 230   0      17.4 d       2-        2.0(2)             NO/S         1989He07            NP A493 83 (89)

91 Pa 231   0      3.3x104 y    3/2-      1.99(2)            ENDOR        1961Ax01            PR 121 1630 (61)

91 Pa 233   0      27.0 d       3/2-      4.0(7)             NO/S         L                   ARISKP (84)

92 U 233    0      1.6x105 y    5/2+      -0.59(5)           ABLS         1990Ga28               BASP 54 (5) 13 (90)

92 U 235    0      7.0x108 y   7/2-      -0.38(3)           CFBLS        1983Ni08            PRL 51 1749 (83)




42
"93 Np 237   0      2.1x106 y    5/2+      +3.16(10)     EPR, R        1970Le29   JCP 53 809 (70)"

94 Pu 239   0      24110 y        1/2+      +0.202(4)     AB/D          1965Fa02   PL 16 71 (65)

94 Pu 241   0      14.3 y         5/2+      -0.678(14)    O             1969Ge04   Phca 42 581 (69)

95 Am 241   0      432.6 y        5/2-      1.60(1)       LRS           1990Iz01   JRNC 143 93 (90)

95 Am 242   0      16.0 h         1-        +0.3854(17)   AB/D          1966Ar04   PR 144 994 (66)
95 Am 242   49     152 y          5-        +1.00(5)      LRS           1988Be30   ZP A330 235 (88)
"95 Am 242   2200   14 ms          (2+,3-)   -1.14(8)      LRS           1996Ba52   HFI 97/98 535 (96)"

95 Am 243   0      7364 y         5/2-      +1.52(1)      LRS           1990Iz01   JRNC 143 93 (90)

96 Cm 243   0      29.1 y         5/2+      0.40(8)       EPR           1973Ab03   PL 44A 527 (73)

96 Cm 245   0      8423 y         7/2+      0.5(1)        EPR           1970Ab03   PR B1 3555 (70)

96 Cm 247   0      1.56x107 y   9/2-      0.36(7)       EPR           1973Ab03   PL 44A 527 (73)

97 Bk 249   0      330 d          7/2+      2.0(4)        EPR           1972Bo67   PL 42A 93 (72)

99 Es 253   0      20.5 d         7/2+      +4.10(7)      AB/D          1975Go05   PR A11 499 (75)

99 Es 254   0      276 d          (7+)      4.4(4)        NO            2009Se09   PR C79 064322 (09)
99 Es 254   84     39.3 h         2+        2.90(7)       AB            1975Go05   PR A11 499 (75)

102 No 253 0       1.62 m         (9/2-)    -0.53(8)      CLS           2018Ra11   PRL 120 232503 (2018)




43

